Now I have sufficient evidence. Let me compile the comprehensive requirement matrix.

---

# Lens 1 — End-State Contract Inventory

## Requirement Matrix

### 1. Phase & Workflow Structure

| ID | End-State Wording | Evidence (path:line) | Category | Proof Criterion |
|---|---|---|---|---|
| ES-001 | The top-level Megaplan product flow must be a single Python function (`@pipeline`) whose control structure directly represents the full workflow topology—no separate route table, manifest graph, or step list carries product semantics. | `docs/arnold/megaplan-native-representation-report.md:5-8`, `:724`; `megaplan-native-parity-corrective/NORTHSTAR.md:5-10` | Phase-structure / source-authority | A reviewer can determine every possible phase transition by reading only the `@pipeline` function body and its imported subworkflows; no `planning.py` route table or `components.py` handler-ref table is consulted. |
| ES-002 | Prep must be a `@phase` call producing a `PrepPayload` artifact. | `megaplan-native-representation-report.md:11`, `:111-114`, `:325-328` | Phase definition | `prep()` is decorated `@phase` and returns a typed `PrepPayload`. |
| ES-003 | Plan must be a `@phase` call producing a `PlanPayload` artifact. | `megaplan-native-representation-report.md:119`, `:340-342` | Phase definition | `plan()` is decorated `@phase` and returns a typed `PlanPayload`. |
| ES-004 | Critique must be a `@subworkflow` containing evaluator selection, parallel lens dispatch, and merge—all as named sub-steps. | `megaplan-native-representation-report.md:137-146`, `:360-380` | Subworkflow | The `critique` subworkflow contains visible `critique_evaluator`, `parallel.map`, and `merge_critique` calls. |
| ES-005 | Gate must be a `@subworkflow` containing signal build, worker call, normalization, validation, optional reprompt, and decision—each as a named sub-step. | `megaplan-native-representation-report.md:149-158`, `:432-455` | Subworkflow | The `gate` subworkflow contains visible calls to `build_gate_signals`, `gate_worker`, `normalize_gate_payload`, `validate_flag_resolution`, `reprompt_gate_worker`, `persist_gate_debt`, and `gate_decision`. |
| ES-006 | Tiebreaker must be a `@subworkflow` containing researcher/challenger parallel branches and a human decision gate. | `megaplan-native-representation-report.md:169-183`, `:485-492` | Subworkflow | The `tiebreaker` subworkflow contains visible `parallel.gather` of `tiebreaker_researcher` and `tiebreaker_challenger`, followed by `decide_tiebreaker`. |
| ES-007 | Finalize must be a `@phase` call with an explicit error-fallback edge back to revise on `FinalizeBaselineSelectionError`. | `megaplan-native-representation-report.md:186-190`, `:495-497`, `:672-677` | Phase + error edge | The `try/except FinalizeBaselineSelectionError` block is visible in the top-level flow. |
| ES-008 | Execute must be a `@subworkflow` containing a `foreach.dag_batches` dynamic iteration over finalized tasks. | `megaplan-native-representation-report.md:194-206`, `:520-540` | Subworkflow / dynamic loop | The `execute` subworkflow contains a visible `async for batch in foreach.dag_batches(...)` loop. |
| ES-009 | Review must be a `@subworkflow` containing worker/check dispatch, merge, and a typed decision function. | `megaplan-native-representation-report.md:209-223`, `:580-600` | Subworkflow | The `review` subworkflow contains visible `review_worker`/`review_check`, `merge_review`, and `review_decision` calls. |

### 2. Ordered Edges & Control Flow

| ID | End-State Wording | Evidence | Category | Proof Criterion |
|---|---|---|---|---|
| ES-010 | The phase ordering `prep → plan → critique → gate → (proceed/iterate/tiebreaker) → finalize → execute → review` must be directly readable from the `@pipeline` body as sequential Python statements. | `megaplan-native-representation-report.md:48-54`, `:724` | Ordered edge | Line-by-line reading of the pipeline function yields the phase order without consulting any external routing table. |
